Input Date,Item Name,Calories (kcal),Protein (g),Carbohydrates (g),Sugar (g),Fat (g),Saturated Fat (g),Cholesterol (mg),Fiber (g),Omega-3 (mg),Notes,Photo,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6
25/4/2025 3:01pm,Soy-based drink (300ml),159,12.9,21,14.1,2.7,1.2,0,2.4,0,,,,,,,
25/4/2025 3:01pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
25/4/2025 3:01pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
25/4/2025 3:02pm,Sukiya Lunch (Gyudon + Egg + Greens + Miso Soup),635,30,61,5,24,8,186,4.5,0,"Lunch at Sukiya (balanced meal, moderate cholesterol)",,,,,,
25/4/2025 3:02pm,Banana (150g),134,1.6,34,18,0.5,0.2,0,3.9,0,"Medium-large banana, great pre-workout carb",,,,,,
25/4/2025 3:02pm,ON Whey (1.5 scoops) + Soy Drink (250ml),312,46.8,20.4,11.6,4.3,1.8,25,2,0,Post-workout shake; ON Whey + soy drink,,,,,,
25/4/2025 3:02pm,"Coca-Cola Zero (1 can, 330ml)",0,0,0,0,0,0,0,0,0,"Contains artificial sweeteners (aspartame, acesulfame K)",,,,,,
25/4/2025 3:02pm,"Blackmores Fish Oil 1000 (2 capsules, second dose)",20,0,0,0,2,0,0,0,600,Second dose of fish oil (EPA 360mg + DHA 240mg),,,,,,
26/4/2025 3:02pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
26/4/2025 3:02pm,Farmer's Union Greek Yogurt with Honey,130,3.7,10.1,9.8,8.4,6.9,0,0,0,calcium 144mg,,,,,,
26/4/2025 3:09pm,Roasted Chicken Rice with Extra Breast Meat,620,55,40,2,24,6,150,1.5,0,Roasted chicken rice with sauce and extra chicken breast,,,,,,
26/4/2025 3:09pm,Chwee Kueh (5 pieces with chai poh),290,3,55,2,8,1.5,0,1.5,0,Traditional rice cakes with preserved radish topping,,,,,,
26/4/2025 3:09pm,Banana (200g),178,2.1,45,24,0.6,0.2,0,5.2,0,"Large banana, natural carbs and fiber",,,,,,
26/4/2025 3:09pm,Soy-based drink (250ml),133,10.8,17.5,9.8,2.3,1,0,2,0,"Soy milk, plain",,,,,,
26/4/2025 3:09pm,1.5 scoops of ON Whey (Cookies & Cream),179,36,2.9,1.8,2,0.8,38,0,0,,,,,,,
26/4/2025 3:16pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
26/4/2025 7:00pm,"Banana (200g, second serving)",178,2.1,45,24,0.6,0.2,0,5.2,0,"Large banana, natural carbs and fiber",,,,,,
26/4/2025 7:01pm,Unagi Kabayaki (190g),475,38,13,7.5,34,8.5,285,0,2280,"Grilled eel with tare sauce; high fat and cholesterol, rich in omega-3",,,,,,
27/4/2025 12:02pm,"Stuff'd Daily Bowl (Chicken, Lettuce, Cabbage, Cucumber, Onion, Sauteed Carrot, Edamame, Soba, Couscous, Black Beans, Sweet Thai Sauce, Smoky BBQ Sauce)",568,31.9,71.1,12.1,21.7,5,57,11.7,200,"Mixed salad with chicken, soba, couscous, beans, double sauces",,,,,,
27/4/2025 12:03pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
27/4/2025 12:04pm,Soy-based drink (250ml),133,10.8,17.5,9.8,2.3,1,0,2,0,"Soy milk, plain",,,,,,
27/4/2025 12:04pm,1.5 scoops of ON Whey (Cookies & Cream),179,36,2.9,1.8,2,0.8,38,0,0,,,,,,,
27/4/2025 1:49pm,Orange Juice (175g),80,1.5,20,18,0,0,0,0,0,"100% orange juice, no added sugars",,,,,,
27/4/2025 2:31pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
27/4/2025 5:52pm,Baked Chicken Breast (206g),339,62,0,0,7.4,2,172,0,200,"Plain baked, seasoned with herbs/spices",,,,,,
27/4/2025 5:53pm,Banana (220g),195,2.3,50,26,0.7,0.2,0,5.7,0,Large banana; natural carbs and fiber,,,,,,
27/4/2025 6:59pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
28/4/2025 10:43am,Banana (196g),174,2.1,44,23,0.6,0.2,0,5.1,0,Large banana; natural carbs and fiber,,,,,,
28/4/2025 6:29pm,Australian Oats (62g),246,19.7,34.6,3.1,5.3,0.9,0,5.6,0,"Plain oats, high fiber and beta-glucan",,,,,,
28/4/2025 6:31pm,Chicken Biryani (400g) + 1 Egg White,720,40,80,5,28,7,120,4.5,100,"Basmati rice, spiced chicken, minimal oil, added egg white for protein",,,,,,
28/4/2025 6:32pm,Hot Milo (Small Cup ~150ml),120,4,18,13,3,1.5,5,0.5,0,Malted cocoa drink; moderate sugars,,,,,,
28/4/2025 6:33pm,Salmon Duo Sushi Set (10 pieces),525,35,70,3,20,4,110,1.5,2000,Mix of raw and seared salmon nigiri with sesame,,,,,,
